stress,log_life,life_cycles,censored
0.675,4.634444,102.95,0
0.675,5.635810,280.32,0
0.675,5.828369,339.83,0
0.675,5.904657,366.9,0
0.675,6.185536,485.62,0
0.675,6.490744,658.96,0
0.675,6.798023,896.33,0
0.675,7.124371,1241.76,0
0.675,7.130830,1250.2,0
0.675,7.193228,1329.78,0
0.675,7.243878,1399.83,0
0.675,7.285698,1459.14,0
0.675,8.085811,3249.82,0
0.675,9.371378,11748.1,0
0.675,9.371378,11748.1,0
0.75,1.903561,6.71,0
0.75,2.295681,9.93,0
0.75,2.533697,12.6,0
0.75,2.745291,15.58,0
0.75,2.784690,16.19,0
0.75,2.849318,17.28,0
0.75,2.924256,18.62,0
0.75,3.009928,20.3,0
0.75,3.214868,24.9,0
0.75,3.267666,26.26,0
0.75,3.330064,27.94,0
0.75,3.593245,36.35,0
0.75,3.879780,48.42,0
0.75,3.913946,50.09,0
0.75,4.209500,67.34,0
0.825,0.219776,1.246,0
0.825,0.229543,1.258,0
0.825,0.378436,1.46,0
0.825,0.399480,1.492,0
0.825,0.875469,2.4,0
0.825,0.879628,2.41,0
0.825,0.951658,2.59,0
0.825,1.065578,2.903,0
0.825,1.203281,3.33,0
0.825,1.278034,3.59,0
0.825,1.346780,3.847,0
0.825,1.413003,4.11,0
0.825,1.572783,4.82,0
0.825,1.715386,5.56,0
0.825,1.721395,5.598,0
0.9,-1.604185,0.201,0
0.9,-1.532260,0.216,0
0.9,-1.486104,0.226,0
0.9,-1.378002,0.252,0
0.9,-1.357857,0.257,0
0.9,-1.221484,0.295,0
0.9,-1.167152,0.311,0
0.9,-1.072985,0.342,0
0.9,-1.033396,0.356,0
0.9,-0.795877,0.451,0
0.9,-0.783349,0.457,0
0.9,-0.675927,0.509,0
0.9,-0.615904,0.54,0
0.9,-0.385662,0.68,0
0.9,0.121296,1.129,0
0.95,-3.297120,0.037,0
0.95,-2.631089,0.072,0
0.95,-2.603689,0.074,0
0.95,-2.576600,0.076,0
0.95,-2.488644,0.083,0
0.95,-2.465310,0.085,0
0.95,-2.253795,0.105,0
0.95,-2.216518,0.109,0
0.95,-2.120264,0.12,0
0.95,-2.095887,0.123,0
0.95,-1.946348,0.143,0
0.95,-1.595089,0.203,0
0.95,-1.580552,0.206,0
0.95,-1.529266,0.217,0
0.95,-1.357857,0.257,0
